b010 WMI_ROAM_BTM_CONFIG_CMDID
13008 WMI_WOW_IOAC_ADD_WAKE_PATTERN_CMDID
13009 WMI_WOW_IOAC_DEL_WAKE_PATTERN_CMDID
2c00a WMI_EXTSCAN_CONFIGURE_MAWC_CMDID
2e001 WMI_IPA_OFFLOAD_ENABLE_DISABLE_CMDID
2a001 WMI_OBSS_COLOR_COLLISION_DETECTION_EVENTID
2a002 WMI_OBSS_SCAN_DISABLE_CMDID
2a003 WMI_OBSS_COLOR_COLLISION_DET_CONFIG_CMDID
14001 WMI_RTT_MEASUREMENT_REPORT_EVENTID
10001 WMI_WLAN_PROFILE_TRIGGER_CMDID
18001 WMI_NETWORK_LIST_OFFLOAD_CONFIG_CMDID
14002 WMI_TSF_MEASUREMENT_REPORT_EVENTID
10002 WMI_WLAN_PROFILE_SET_HIST_INTVL_CMDID
18002 WMI_APFIND_CMDID
14003 WMI_RTT_ERROR_REPORT_EVENTID
10003 WMI_WLAN_PROFILE_GET_PROFILE_DATA_CMDID
10004 WMI_WLAN_PROFILE_ENABLE_PROFILE_ID_CMDID
18004 WMI_PASSPOINT_MATCH_EVENTID
10005 WMI_WLAN_PROFILE_LIST_PROFILE_ID_CMDID
4020 WMI_PDEV_SET_ANTENNA_MODE_CMDID
4021 WMI_CHAN_RF_CHARACTERIZATION_INFO_EVENTID
4022 WMI_PDEV_WAL_POWER_DEBUG_CMDID
4024 WMI_PDEV_SET_WAKEUP_CONFIG_CMDID
4025 WMI_PDEV_GET_ANTDIV_STATUS_CMDID
4026 WMI_PDEV_GET_CHIP_POWER_STATS_CMDID
4027 WMI_PDEV_SET_STATS_THRESHOLD_CMDID
4028 WMI_PDEV_MULTIPLE_VDEV_RESTART_REQUEST_CMDID
4029 WMI_PDEV_UPDATE_PKT_ROUTING_CMDID
1300a WMI_D0_WOW_ENABLE_DISABLE_CMDID
2f001 WMI_MDNS_STATS_EVENTID
1300b WMI_EXTWOW_ENABLE_CMDID
2f002 WMI_MDNS_SET_FQDN_CMDID
1300c WMI_EXTWOW_SET_APP_TYPE1_PARAMS_CMDID
2f003 WMI_MDNS_SET_RESPONSE_CMDID
1300d WMI_EXTWOW_SET_APP_TYPE2_PARAMS_CMDID
2f004 WMI_MDNS_GET_STATS_CMDID
1300e WMI_WOW_ENABLE_ICMPV6_NA_FLT_CMDID
1300f WMI_WOW_UDP_SVC_OFLD_CMDID
15001 WMI_VDEV_SPECTRAL_SCAN_CONFIGURE_CMDID
11001 WMI_PDEV_SUSPEND_CMDID
19001 WMI_GTK_OFFLOAD_CMDID
11002 WMI_PDEV_RESUME_CMDID
19002 WMI_GTK_REKEY_FAIL_EVENTID
5020 WMI_VDEV_SET_CUSTOM_SW_RETRY_TH_CMDID
5021 WMI_VDEV_CHAINMASK_CONFIG_CMDID
5022 WMI_VDEV_GET_BCN_RECEPTION_STATS_CMDID
5023 WMI_VDEV_GET_MWS_COEX_INFO_CMDID
